locality,fips,year,race,pop_17under
"Albemarle County, VA",51003,2015,American Indian or Alaska Native,110
"Albemarle County, VA",51003,2015,Asian or Pacific Islander,1225
"Albemarle County, VA",51003,2015,Black or African American,2612
"Albemarle County, VA",51003,2015,White,17985
"Albemarle County, VA",51003,2016,American Indian or Alaska Native,97
"Albemarle County, VA",51003,2016,Asian or Pacific Islander,1225
"Albemarle County, VA",51003,2016,Black or African American,2734
"Albemarle County, VA",51003,2016,White,17914
"Albemarle County, VA",51003,2017,American Indian or Alaska Native,88
"Albemarle County, VA",51003,2017,Asian or Pacific Islander,1261
"Albemarle County, VA",51003,2017,Black or African American,2746
"Albemarle County, VA",51003,2017,White,17859
"Albemarle County, VA",51003,2018,American Indian or Alaska Native,82
"Albemarle County, VA",51003,2018,Asian or Pacific Islander,1264
"Albemarle County, VA",51003,2018,Black or African American,2728
"Albemarle County, VA",51003,2018,White,17698
"Albemarle County, VA",51003,2019,American Indian or Alaska Native,85
"Albemarle County, VA",51003,2019,Asian or Pacific Islander,1292
"Albemarle County, VA",51003,2019,Black or African American,2738
"Albemarle County, VA",51003,2019,White,17715
"Albemarle County, VA",51003,2020,American Indian or Alaska Native,92
"Albemarle County, VA",51003,2020,Asian or Pacific Islander,1329
"Albemarle County, VA",51003,2020,Black or African American,2775
"Albemarle County, VA",51003,2020,White,17683
"Charlottesville city, VA",51540,1990,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1990,Asian or Pacific Islander,92
"Charlottesville city, VA",51540,1990,Black or African American,2607
"Charlottesville city, VA",51540,1990,White,4661
"Charlottesville city, VA",51540,1991,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1991,Asian or Pacific Islander,88
"Charlottesville city, VA",51540,1991,Black or African American,2686
"Charlottesville city, VA",51540,1991,White,4613
"Charlottesville city, VA",51540,1992,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1992,Asian or Pacific Islander,96
"Charlottesville city, VA",51540,1992,Black or African American,2788
"Charlottesville city, VA",51540,1992,White,4589
"Charlottesville city, VA",51540,1993,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1993,Asian or Pacific Islander,95
"Charlottesville city, VA",51540,1993,Black or African American,2901
"Charlottesville city, VA",51540,1993,White,4571
"Charlottesville city, VA",51540,1994,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1994,Asian or Pacific Islander,92
"Charlottesville city, VA",51540,1994,Black or African American,2967
"Charlottesville city, VA",51540,1994,White,4526
"Charlottesville city, VA",51540,1995,American Indian or Alaska Native,5
"Charlottesville city, VA",51540,1995,Asian or Pacific Islander,96
"Charlottesville city, VA",51540,1995,Black or African American,2894
"Charlottesville city, VA",51540,1995,White,4228
"Charlottesville city, VA",51540,1996,American Indian or Alaska Native,3
"Charlottesville city, VA",51540,1996,Asian or Pacific Islander,99
"Charlottesville city, VA",51540,1996,Black or African American,2934
"Charlottesville city, VA",51540,1996,White,4139
