GeoFips,GeoName,year,pci,cpi10,adj_pci
51901,"Albemarle + Charlottesville, VA*",2000,35820,78.97053967788091,45358.68710801394
51901,"Albemarle + Charlottesville, VA*",2001,37025,81.21766885570678,45587.37097684925
51901,"Albemarle + Charlottesville, VA*",2002,37405,82.50174267160729,45338.43624235687
51901,"Albemarle + Charlottesville, VA*",2003,39849,84.38199361631874,47224.53013043478
51901,"Albemarle + Charlottesville, VA*",2004,42072,86.62912279414462,48565.653954473266
51901,"Albemarle + Charlottesville, VA*",2005,44385,89.56414865906007,49556.659293394776
51901,"Albemarle + Charlottesville, VA*",2006,47963,92.45331474483618,51878.07503968255
51901,"Albemarle + Charlottesville, VA*",2007,50499,95.086583263015,53108.438926990195
51901,"Albemarle + Charlottesville, VA*",2008,51664,98.73748028029496,52324.60850057826
51901,"Albemarle + Charlottesville, VA*",2009,48498,98.3861943720879,49293.50129814438
51901,"Albemarle + Charlottesville, VA*",2010,50940,100,50940
51901,"Albemarle + Charlottesville, VA*",2011,53058,103.15652859815827,51434.45666602945
51901,"Albemarle + Charlottesville, VA*",2012,57476,105.29130131709286,54587.60532069654
51901,"Albemarle + Charlottesville, VA*",2013,56283,106.83356568954763,52682.88073764687
51901,"Albemarle + Charlottesville, VA*",2014,59139,108.56660674322191,54472.55079075427
51901,"Albemarle + Charlottesville, VA*",2015,62178,108.69547272260336,57203.8544408207
51901,"Albemarle + Charlottesville, VA*",2016,65332,110.06668011886856,59356.746228235
51901,"Albemarle + Charlottesville, VA*",2017,70241,112.41149062626114,62485.60499347259
51901,"Albemarle + Charlottesville, VA*",2018,73889,115.15711560333123,64163.642526890944
51901,"Albemarle + Charlottesville, VA*",2019,77844,117.24373555416956,66395.01857566975
51901,"Albemarle + Charlottesville, VA*",2020,80244,118.69015298822319,67607.96745115162
51901,"Albemarle + Charlottesville, VA*",2021,85867,124.26624353377113,69099.21597224785
51000,Virginia,2000,32715,78.97053967788091,41426.84111498258
51000,Virginia,2001,34001,81.21766885570678,41864.04322981367
51000,Virginia,2002,34498,82.50174267160729,41814.87430794886
51000,Virginia,2003,36188,84.38199361631874,42885.926782608694
51000,Virginia,2004,38139,86.62912279414462,44025.61029115935
51000,Virginia,2005,40167,89.56414865906007,44847.18562211981
51000,Virginia,2006,42385,92.45331474483618,45844.759722222225
51000,Virginia,2007,44248,95.086583263015,46534.43049647442
51000,Virginia,2008,45514,98.73748028029496,46095.97072033367
51000,Virginia,2009,44087,98.3861943720879,44810.148701622566
51000,Virginia,2010,45513,100,45513
51000,Virginia,2011,47608,103.15652859815827,46151.223433908744
51000,Virginia,2012,49309,105.29130131709286,46831.02913839212
51000,Virginia,2013,48573,106.83356568954763,45466.04775988702
51000,Virginia,2014,50318,108.56660674322191,46347.584685050024
51000,Virginia,2015,52238,108.69547272260336,48059.03934316948
51000,Virginia,2016,53268,110.06668011886856,48396.11764656864
51000,Virginia,2017,54879,112.41149062626114,48819.742265013054
51000,Virginia,2018,56619,115.15711560333123,49166.740329819564
51000,Virginia,2019,59073,117.24373555416956,50384.78151585915
51000,Virginia,2020,62189,118.69015298822319,52396.09052165481
51000,Virginia,2021,66305,124.26624353377113,53357.20958039636
