locality,divorces,year,fips,pop_wcc,divorce_rate
Virginia,30360,2000,51,7107049.667028213,4.271814806761428
Albemarle County,253,2000,003,84688.11453563237,2.9874321962091943
Charlottesville City,146,2000,540,40199.21446254729,3.6319117662367497
Virginia,30448,2001,51,7204927.792398994,4.225996550877557
Albemarle County,228,2001,003,86092.4575937873,2.648315617562916
Charlottesville City,179,2001,540,40215.98831339471,4.450966083565839
Virginia,30833,2002,51,7302731.202863817,4.2221189776105446
Albemarle County,215,2002,003,87172.66391993663,2.466369505438836
Charlottesville City,99,2002,540,40371.35066429692,2.4522340315839943
Virginia,29743,2003,51,7386345.88814222,4.026754291015314
Albemarle County,235,2003,003,88858.9478606035,2.644640811735175
Charlottesville City,90,2003,540,40289.4791280774,2.2338337935294814
Virginia,29814,2004,51,7510260.473836495,3.9697691050614123
Albemarle County,218,2004,003,90645.07066856534,2.4049846107693513
Charlottesville City,109,2004,540,40939.69031086897,2.6624529685575533
Virginia,30186,2005,51,7600467.249020532,3.9715979308890588
Albemarle County,210,2005,003,91349.91440419688,2.2988527287591194
Charlottesville City,87,2005,540,41233.69056770612,2.1099251316625454
Virginia,30606,2006,51,7683718.315480616,3.9832277477347366
Albemarle County,198,2006,003,94224.77481089944,2.1013581661231666
Charlottesville City,84,2006,540,42805.56917582211,1.9623614781285461
Virginia,29519,2007,51,7749603.366073032,3.8090981700084354
Albemarle County,203,2007,003,94090.2258293452,2.157503589886035
Charlottesville City,88,2007,540,41915.14870348437,2.0994796087335517
Virginia,29460,2008,51,7854030.699552173,3.7509402658280635
Albemarle County,160,2008,003,96346.38870603708,1.6606745945421655
Charlottesville City,67,2008,540,42431.88927597628,1.5790011037272733
Virginia,28970,2009,51,7928779.345918727,3.653778057893876
Albemarle County,198,2009,003,97694.49153519588,2.026726347500029
Charlottesville City,73,2009,540,43237.17834560632,1.6883617940211428
Virginia,30011,2010,51,8022832,3.740699044925782
Albemarle County,201,2010,003,99347,2.023211571562302
Charlottesville City,85,2010,540,43658,1.9469513033121078
Virginia,31068,2011,51,8110080,3.8307883522727275
Albemarle County,211,2011,003,100855,2.0921124386495467
Charlottesville City,64,2011,540,44391,1.441733684755919
Virginia,30048,2012,51,8201507,3.663716924218927
Albemarle County,246,2012,003,101818,2.416075742992398
Charlottesville City,86,2012,540,45396,1.8944400387699356
Virginia,29465,2013,51,8275067,3.5606962457222404
Albemarle County,240,2013,003,102559,2.3401164207919343
Charlottesville City,90,2013,540,46303,1.9437185495540246
Virginia,28972,2014,51,8339117,3.4742287462809314
Albemarle County,212,2014,003,103330,2.051679086422143
Charlottesville City,90,2014,540,47539,1.8931824396811041
Virginia,24727,2015,51,8394902,2.945478100875984
Albemarle County,173,2015,003,104221,1.6599341783325816
Charlottesville City,68,2015,540,48385,1.4053942337501293
Virginia,27519,2016,51,8449049,3.257052953533587
Albemarle County,180,2016,003,105338,1.708785053826729
Charlottesville City,44,2016,540,49037,0.8972816444725412
Virginia,22888,2017,51,8506433,2.690669520350069
Albemarle County,169,2017,003,106495,1.5869289638011175
Charlottesville City,37,2017,540,49707,0.744361961091999
Virginia,21177,2018,51,8549345,2.477031866183901
Albemarle County,174,2018,003,108202,1.6081033622299032
Charlottesville City,56,2018,540,50183,1.1159157483609987
