division,school_year,assault_battery,fighting_conflict,sexual_offenses,threats,kidnapping,robbery,source,year
Albemarle,2006-2007,39,40,NA,63,0,0,old,2007
Charlottesville,2006-2007,93,71,NA,89,0,0,old,2007
Virginia,2006-2007,8212,11073,NA,8501,0,31,old,2007
Albemarle,2007-2008,13,40,2,20,0,0,old,2008
Charlottesville,2007-2008,36,70,0,67,0,0,old,2008
Virginia,2007-2008,6084,9327,423,6789,1,36,old,2008
Albemarle,2008-2009,24,37,1,16,0,0,old,2009
Charlottesville,2008-2009,41,66,0,30,0,0,old,2009
Virginia,2008-2009,5687,8624,402,6349,1,36,old,2009
Albemarle,2009-2010,29,39,2,20,0,0,old,2010
Charlottesville,2009-2010,23,63,0,35,0,0,old,2010
Virginia,2009-2010,5520,7806,433,6189,0,16,old,2010
Albemarle,2010-2011,14,24,3,45,0,0,old,2011
Charlottesville,2010-2011,12,45,0,38,0,0,old,2011
Virginia,2010-2011,5062,7215,397,6368,0,28,old,2011
Albemarle,2011-2012,35,58,4,61,0,1,old,2012
Charlottesville,2011-2012,22,34,0,63,0,0,old,2012
Virginia,2011-2012,5124,7279,389,6432,0,13,old,2012
Albemarle,2012-2013,20,40,3,37,0,0,old,2013
Charlottesville,2012-2013,13,32,0,33,0,0,old,2013
Virginia,2012-2013,4966,7090,366,6517,1,18,old,2013
Albemarle,2017-2018,47,195,16,70,0,0,new,2018
Charlottesville,2017-2018,3,80,7,29,0,0,new,2018
Albemarle,2018-2019,45,204,19,48,0,0,new,2019
Charlottesville,2018-2019,8,78,6,26,0,0,new,2019
Albemarle,2019-2020,35,196,18,61,0,0,new,2020
Charlottesville,2019-2020,11,91,11,29,0,0,new,2020
Albemarle,2020-2021,2,1,0,4,0,0,new,2021
Charlottesville,2020-2021,0,2,0,0,0,0,new,2021
Virginia,2017-2018,6960,29046,2591,7118,0,17,new,2018
Virginia,2018-2019,7558,31041,2714,6611,1,12,new,2019
Virginia,2019-2020,6248,22752,2065,5396,0,19,new,2020
Virginia,2020-2021,468,1547,196,696,0,23,new,2021
