GEOID,NAME,year,rent_over_30,total,percent_over_30
51003,"Albemarle County, Virginia",2009,5293,12949,0.40875743300640976
51003,"Albemarle County, Virginia",2010,5339,12949,0.41230983087497103
51003,"Albemarle County, Virginia",2011,5537,12667,0.4371200757874793
51003,"Albemarle County, Virginia",2012,5476,12901,0.4244632199054337
51003,"Albemarle County, Virginia",2013,5581,12886,0.4331056961042992
51003,"Albemarle County, Virginia",2014,5955,13402,0.44433666616922846
51003,"Albemarle County, Virginia",2015,5854,13572,0.43132920719127615
51003,"Albemarle County, Virginia",2016,5843,13847,0.4219686574709323
51003,"Albemarle County, Virginia",2017,6146,14556,0.42223138224787027
51003,"Albemarle County, Virginia",2018,6584,15221,0.43256027856251233
51003,"Albemarle County, Virginia",2019,6303,15231,0.41382706322631474
51003,"Albemarle County, Virginia",2020,6455,14756,0.4374491732176742
51003,"Albemarle County, Virginia",2021,6338,14641,0.4328939280103818
51540,"Charlottesville city, Virginia",2009,5292,9505,0.5567596002104156
51540,"Charlottesville city, Virginia",2010,5183,10147,0.5107913669064749
51540,"Charlottesville city, Virginia",2011,5277,10208,0.5169474921630094
51540,"Charlottesville city, Virginia",2012,5123,10258,0.4994150906609476
51540,"Charlottesville city, Virginia",2013,5067,10372,0.488526802930968
51540,"Charlottesville city, Virginia",2014,4803,10275,0.46744525547445254
51540,"Charlottesville city, Virginia",2015,4744,10017,0.47359488868922833
51540,"Charlottesville city, Virginia",2016,5061,10401,0.4865878280934526
51540,"Charlottesville city, Virginia",2017,4745,10292,0.4610376991838321
51540,"Charlottesville city, Virginia",2018,5027,10568,0.47568130204390613
51540,"Charlottesville city, Virginia",2019,5177,10640,0.48656015037593986
51540,"Charlottesville city, Virginia",2020,5592,11264,0.49644886363636365
51540,"Charlottesville city, Virginia",2021,5819,11333,0.5134562781258273
51,Virginia,2009,391846,905669,0.4326591723907962
51,Virginia,2010,410704,926272,0.44339459683548677
51,Virginia,2011,427052,944180,0.452299349700269
51,Virginia,2012,444782,968012,0.4594798411589939
51,Virginia,2013,458740,989637,0.46354370339831674
51,Virginia,2014,469812,1013466,0.463569572141542
51,Virginia,2015,477305,1035778,0.4608178586531091
51,Virginia,2016,485899,1057417,0.45951502576561565
51,Virginia,2017,477382,1050563,0.4544058757066449
51,Virginia,2018,478703,1057536,0.4526588220164609
51,Virginia,2019,473294,1063334,0.44510379617316853
51,Virginia,2020,464431,1060350,0.4379978309048899
51,Virginia,2021,477250,1083561,0.44044590013852475
