GEOID,NAME,year,burden_hh,total_hh,pct_burden
51003,"Albemarle County, Virginia",2010,6577,24510,26.833945328437377
51003,"Albemarle County, Virginia",2011,6507,24731,26.31110751688165
51003,"Albemarle County, Virginia",2012,6329,24648,25.67753975981824
51003,"Albemarle County, Virginia",2013,5993,25078,23.897439987239814
51003,"Albemarle County, Virginia",2014,5838,25135,23.22657648697036
51003,"Albemarle County, Virginia",2015,5430,25281,21.478580752343657
51003,"Albemarle County, Virginia",2016,5159,25584,20.16494684177611
51003,"Albemarle County, Virginia",2017,4719,25459,18.53568482658392
51003,"Albemarle County, Virginia",2018,4611,25391,18.159977944941122
51003,"Albemarle County, Virginia",2019,4710,26265,17.932609937178757
51003,"Albemarle County, Virginia",2020,5221,27625,18.899547511312218
51003,"Albemarle County, Virginia",2021,5090,28425,17.906772207563765
51540,"Charlottesville city, Virginia",2010,2163,7143,30.28139437211256
51540,"Charlottesville city, Virginia",2011,2129,7179,29.655940938849422
51540,"Charlottesville city, Virginia",2012,1936,7061,27.418212717745362
51540,"Charlottesville city, Virginia",2013,1888,7071,26.7006081176637
51540,"Charlottesville city, Virginia",2014,1730,7329,23.604857415745666
51540,"Charlottesville city, Virginia",2015,1931,7735,24.964447317388494
51540,"Charlottesville city, Virginia",2016,1769,7579,23.340810133262963
51540,"Charlottesville city, Virginia",2017,1917,8116,23.62000985707245
51540,"Charlottesville city, Virginia",2018,1713,8045,21.292728402734618
51540,"Charlottesville city, Virginia",2019,1578,7977,19.781872884543063
51540,"Charlottesville city, Virginia",2020,1495,7550,19.801324503311257
51540,"Charlottesville city, Virginia",2021,1472,7979,18.44842712119313
51,Virginia,2010,593967,2048209,28.999335517029756
51,Virginia,2011,588286,2046845,28.741111320104846
51,Virginia,2012,572011,2038207,28.064421327176287
51,Virginia,2013,549830,2033102,27.043896469532765
51,Virginia,2014,522926,2028244,25.782203719079167
51,Virginia,2015,500180,2027005,24.67581481052094
51,Virginia,2016,478595,2032761,23.544086097677003
51,Virginia,2017,465053,2055073,22.629512430945276
51,Virginia,2018,456596,2070879,22.048415189878305
51,Virginia,2019,443105,2087711,21.22444150555321
51,Virginia,2020,434612,2123771,20.46416492173591
51,Virginia,2021,437893,2164967,20.22631291839552
