location_type,location,year,percent
State,Virginia,2002,20.4
State,Virginia,2003,21.4
State,Virginia,2004,19.7
State,Virginia,2005,17.9
State,Virginia,2006,17.2
State,Virginia,2007,16.5
State,Virginia,2008,14.299999999999999
State,Virginia,NA,13.900000000000002
State,Virginia,2010,13.422
State,Virginia,2011,12.45
State,Virginia,2012,12.989
State,Virginia,2013,12.5
State,Virginia,2014,12.86
State,Virginia,2015,13.841999999999999
County,Albemarle,2002,16.045
County,Albemarle,2003,16.425
County,Albemarle,2004,12.527
County,Albemarle,2005,13.128
County,Albemarle,2006,11.491999999999999
County,Albemarle,2007,9.071
County,Albemarle,2008,10.633
County,Albemarle,NA,13.8
County,Albemarle,2010,10.6
County,Albemarle,2011,11.16
County,Albemarle,2012,14.14
County,Albemarle,2013,14.799999999999999
County,Albemarle,2014,13.77
County,Albemarle,2015,16.236
County,Charlottesville,2002,25.679999999999996
County,Charlottesville,2003,17.595
County,Charlottesville,2004,NA
County,Charlottesville,2005,17.555
County,Charlottesville,2006,18.301000000000002
County,Charlottesville,2007,19.444
County,Charlottesville,2008,16.099
County,Charlottesville,NA,10.8
County,Charlottesville,2010,10.6
County,Charlottesville,2011,10.89
County,Charlottesville,2012,16.029
County,Charlottesville,2013,14.299999999999999
County,Charlottesville,2014,14.81
County,Charlottesville,2015,14.212
State,Virginia,2016,14.6
State,Virginia,2017,16
State,Virginia,NA,17
State,Virginia,2019,15.7
County,Albemarle,2016,16
County,Albemarle,2017,19
County,Albemarle,NA,19
County,Albemarle,2019,18.82
County,Charlottesville,2016,16
County,Charlottesville,2017,14.000000000000002
County,Charlottesville,NA,16
County,Charlottesville,2019,16.91
