geoid,name,year,youth_labor_sum,youth_total_sum,laborforce_rate,youth_unemployed_sum,unemployment_rate
51003,"Albemarle County, Virginia",2010,2427,7687,31.572785221803045,477,19.65389369592089
51003,"Albemarle County, Virginia",2011,2227,7431,29.969048580271835,441,19.802424786708578
51003,"Albemarle County, Virginia",2012,2081,7824,26.59764826175869,414,19.894281595386833
51003,"Albemarle County, Virginia",2013,1622,7940,20.428211586901764,293,18.064118372379777
51003,"Albemarle County, Virginia",2014,1738,8480,20.495283018867923,347,19.965477560414268
51003,"Albemarle County, Virginia",2015,1745,7953,21.94140575883314,201,11.51862464183381
51003,"Albemarle County, Virginia",2016,1841,8249,22.31785670990423,166,9.016838674633352
51003,"Albemarle County, Virginia",2017,1826,8302,21.99470007227174,158,8.652792990142387
51003,"Albemarle County, Virginia",2018,2206,8203,26.89260026819456,190,8.612873980054397
51003,"Albemarle County, Virginia",2019,2176,8081,26.927360475188717,173,7.950367647058823
51003,"Albemarle County, Virginia",2020,2165,8563,25.283195141889525,260,12.009237875288683
51003,"Albemarle County, Virginia",2021,2117,8677,24.397833352541202,177,8.360888049126123
51540,"Charlottesville city, Virginia",2010,1227,4135,29.67351874244256,123,10.024449877750612
51540,"Charlottesville city, Virginia",2011,1064,3459,30.760335357039608,185,17.387218045112782
51540,"Charlottesville city, Virginia",2012,937,3105,30.177133655394524,174,18.56990394877268
51540,"Charlottesville city, Virginia",2013,760,3113,24.41374879537424,158,20.789473684210527
51540,"Charlottesville city, Virginia",2014,829,3017,27.477626781571097,153,18.455971049457176
51540,"Charlottesville city, Virginia",2015,849,2819,30.117062788222775,123,14.487632508833922
51540,"Charlottesville city, Virginia",2016,732,2445,29.938650306748464,167,22.814207650273225
51540,"Charlottesville city, Virginia",2017,742,3063,24.224616389160953,141,19.00269541778976
51540,"Charlottesville city, Virginia",2018,886,3279,27.02043305885941,203,22.91196388261851
51540,"Charlottesville city, Virginia",2019,887,2928,30.293715846994534,146,16.459977452085685
51540,"Charlottesville city, Virginia",2020,789,2572,30.676516329704512,90,11.406844106463879
51540,"Charlottesville city, Virginia",2021,839,2617,32.05961024073367,57,6.793802145411204
