GEOID,NAME,year,pop_count,race,total_count,pop_percent,group,ethn
51003,"Albemarle County, Virginia",2009,16326,white,20237,0.80674012946583,race,NA
51003,"Albemarle County, Virginia",2010,16823,white,21289,0.7902203015641881,race,NA
51003,"Albemarle County, Virginia",2011,16651,white,21354,0.7797602322749836,race,NA
51003,"Albemarle County, Virginia",2012,16611,white,21447,0.7745139180304937,race,NA
51003,"Albemarle County, Virginia",2013,16683,white,21569,0.773471185497705,race,NA
51003,"Albemarle County, Virginia",2014,16573,white,21633,0.7660980908796746,race,NA
51003,"Albemarle County, Virginia",2015,16589,white,21700,0.7644700460829493,race,NA
51003,"Albemarle County, Virginia",2016,16725,white,21721,0.7699921734726762,race,NA
51003,"Albemarle County, Virginia",2017,16805,white,21738,0.7730701996503818,race,NA
51003,"Albemarle County, Virginia",2018,16839,white,21734,0.7747768473359713,race,NA
51003,"Albemarle County, Virginia",2019,16986,white,21723,0.7819361966579201,race,NA
51003,"Albemarle County, Virginia",2020,16541,white,21863,0.7565750354480172,race,NA
51003,"Albemarle County, Virginia",2021,16536,white,22417,0.7376544586697595,race,NA
51540,"Charlottesville city, Virginia",2009,3730,white,6719,0.5551421342461675,race,NA
51540,"Charlottesville city, Virginia",2010,3252,white,6402,0.5079662605435802,race,NA
51540,"Charlottesville city, Virginia",2011,3435,white,6368,0.5394158291457286,race,NA
51540,"Charlottesville city, Virginia",2012,3589,white,6498,0.5523237919359802,race,NA
51540,"Charlottesville city, Virginia",2013,3695,white,6531,0.5657632828050835,race,NA
51540,"Charlottesville city, Virginia",2014,3948,white,6784,0.5819575471698113,race,NA
51540,"Charlottesville city, Virginia",2015,4064,white,6907,0.5883885912842044,race,NA
51540,"Charlottesville city, Virginia",2016,4176,white,7084,0.5894974590626765,race,NA
51540,"Charlottesville city, Virginia",2017,4295,white,7263,0.5913534352196063,race,NA
51540,"Charlottesville city, Virginia",2018,4450,white,7385,0.6025727826675694,race,NA
51540,"Charlottesville city, Virginia",2019,4467,white,7368,0.6062703583061889,race,NA
51540,"Charlottesville city, Virginia",2020,4307,white,7321,0.5883076082502391,race,NA
51540,"Charlottesville city, Virginia",2021,4332,white,7314,0.5922887612797375,race,NA
51,Virginia,2009,1194418,white,1831470,0.652163562602718,race,NA
51,Virginia,2010,1176064,white,1840077,0.6391384708357313,race,NA
51,Virginia,2011,1173227,white,1843927,0.6362654269935849,race,NA
51,Virginia,2012,1173393,white,1848713,0.6347080374292818,race,NA
51,Virginia,2013,1176806,white,1856014,0.6340501741904964,race,NA
51,Virginia,2014,1177225,white,1862284,0.6321404254130949,race,NA
51,Virginia,2015,1175650,white,1864668,0.6304875720503597,race,NA
51,Virginia,2016,1173615,white,1865556,0.6290966339257572,race,NA
51,Virginia,2017,1167212,white,1866274,0.625423705200844,race,NA
51,Virginia,2018,1161193,white,1867427,0.6218144002416158,race,NA
51,Virginia,2019,1154736,white,1865699,0.6189294200189849,race,NA
51,Virginia,2020,1120554,white,1868597,0.5996766558011171,race,NA
51,Virginia,2021,1104801,white,1892752,0.5837008757618536,race,NA
51003,"Albemarle County, Virginia",2009,2123,black,20237,0.1049068537826753,race,NA
51003,"Albemarle County, Virginia",2010,2337,black,21289,0.10977500117431538,race,NA
51003,"Albemarle County, Virginia",2011,2441,black,21354,0.1143111360869158,race,NA
51003,"Albemarle County, Virginia",2012,2255,black,21447,0.10514291043036322,race,NA
51003,"Albemarle County, Virginia",2013,2156,black,21569,0.09995827344800408,race,NA
51003,"Albemarle County, Virginia",2014,2055,black,21633,0.09499375953404521,race,NA
51003,"Albemarle County, Virginia",2015,2088,black,21700,0.09622119815668202,race,NA
51003,"Albemarle County, Virginia",2016,2201,black,21721,0.10133050964504396,race,NA
51003,"Albemarle County, Virginia",2017,2393,black,21738,0.1100837243536664,race,NA
51003,"Albemarle County, Virginia",2018,2520,black,21734,0.11594736357780436,race,NA
51003,"Albemarle County, Virginia",2019,2425,black,21723,0.11163283156101828,race,NA
51003,"Albemarle County, Virginia",2020,2300,black,21863,0.10520056716827517,race,NA
51003,"Albemarle County, Virginia",2021,1915,black,22417,0.08542623901503324,race,NA
51540,"Charlottesville city, Virginia",2009,1970,black,6719,0.2931983926179491,race,NA
51540,"Charlottesville city, Virginia",2010,2174,black,6402,0.3395813808184942,race,NA
51540,"Charlottesville city, Virginia",2011,2121,black,6368,0.33307160804020103,race,NA
51540,"Charlottesville city, Virginia",2012,2220,black,6498,0.34164358264081257,race,NA
51540,"Charlottesville city, Virginia",2013,2145,black,6531,0.32843362425355993,race,NA
51540,"Charlottesville city, Virginia",2014,2120,black,6784,0.3125,race,NA
51540,"Charlottesville city, Virginia",2015,2025,black,6907,0.2931808310409729,race,NA
51540,"Charlottesville city, Virginia",2016,1918,black,7084,0.2707509881422925,race,NA
51540,"Charlottesville city, Virginia",2017,1914,black,7263,0.2635274679884345,race,NA
51540,"Charlottesville city, Virginia",2018,1973,black,7385,0.2671631685849695,race,NA
51540,"Charlottesville city, Virginia",2019,2015,black,7368,0.2734799131378936,race,NA
51540,"Charlottesville city, Virginia",2020,2000,black,7321,0.2731867231252561,race,NA
51540,"Charlottesville city, Virginia",2021,1889,black,7314,0.2582718074924802,race,NA
51,Virginia,2009,399313,black,1831470,0.21802868733858594,race,NA
51,Virginia,2010,404860,black,1840077,0.2200234011946239,race,NA
51,Virginia,2011,403543,black,1843927,0.21884977008308898,race,NA
51,Virginia,2012,399873,black,1848713,0.2162980408532855,race,NA
51,Virginia,2013,394664,black,1856014,0.21264063740898506,race,NA
51,Virginia,2014,390180,black,1862284,0.20951691578728057,race,NA
51,Virginia,2015,387952,black,1864668,0.2080541951704003,race,NA
51,Virginia,2016,382085,black,1865556,0.20481025495884336,race,NA
51,Virginia,2017,380586,black,1866274,0.20392825490790742,race,NA
51,Virginia,2018,375959,black,1867427,0.20132460331782714,race,NA
51,Virginia,2019,373575,black,1865699,0.20023326377941994,race,NA
51,Virginia,2020,370122,black,1868597,0.1980748122789451,race,NA
51,Virginia,2021,371765,black,1892752,0.19641506124415667,race,NA
51003,"Albemarle County, Virginia",2009,31,aian,20237,0.0015318476058704354,race,NA
51003,"Albemarle County, Virginia",2010,112,aian,21289,0.005260932876133214,race,NA
51003,"Albemarle County, Virginia",2011,136,aian,21354,0.006368830195747869,race,NA
51003,"Albemarle County, Virginia",2012,101,aian,21447,0.004709283349652632,race,NA
51003,"Albemarle County, Virginia",2013,146,aian,21569,0.006768973990449256,race,NA
51003,"Albemarle County, Virginia",2014,89,aian,21633,0.004114084962788333,race,NA
51003,"Albemarle County, Virginia",2015,47,aian,21700,0.002165898617511521,race,NA
51003,"Albemarle County, Virginia",2016,46,aian,21721,0.0021177662170249988,race,NA
51003,"Albemarle County, Virginia",2017,56,aian,21738,0.0025761339589658663,race,NA
51003,"Albemarle County, Virginia",2018,72,aian,21734,0.003312781816508696,race,NA
51003,"Albemarle County, Virginia",2019,56,aian,21723,0.002577912811305989,race,NA
51003,"Albemarle County, Virginia",2020,84,aian,21863,0.003842107670493528,race,NA
51003,"Albemarle County, Virginia",2021,139,aian,22417,0.00620065129143061,race,NA
51540,"Charlottesville city, Virginia",2009,25,aian,6719,0.00372079178449174,race,NA
51540,"Charlottesville city, Virginia",2010,51,aian,6402,0.007966260543580132,race,NA
51540,"Charlottesville city, Virginia",2011,39,aian,6368,0.006124371859296482,race,NA
51540,"Charlottesville city, Virginia",2012,18,aian,6498,0.002770083102493075,race,NA
51540,"Charlottesville city, Virginia",2013,22,aian,6531,0.0033685499923442044,race,NA
51540,"Charlottesville city, Virginia",2014,0,aian,6784,0,race,NA
51540,"Charlottesville city, Virginia",2015,0,aian,6907,0,race,NA
51540,"Charlottesville city, Virginia",2016,49,aian,7084,0.00691699604743083,race,NA
51540,"Charlottesville city, Virginia",2017,61,aian,7263,0.008398733305796503,race,NA
51540,"Charlottesville city, Virginia",2018,80,aian,7385,0.010832769126607989,race,NA
51540,"Charlottesville city, Virginia",2019,31,aian,7368,0.004207383279044517,race,NA
51540,"Charlottesville city, Virginia",2020,38,aian,7321,0.005190547739379866,race,NA
51540,"Charlottesville city, Virginia",2021,0,aian,7314,0,race,NA
51,Virginia,2009,5751,aian,1831470,0.0031401005749479927,race,NA
51,Virginia,2010,6167,aian,1840077,0.003351490182204332,race,NA
51,Virginia,2011,5626,aian,1843927,0.003051096925203655,race,NA
51,Virginia,2012,5181,aian,1848713,0.002802490164779498,race,NA
51,Virginia,2013,4748,aian,1856014,0.00255817035862876,race,NA
51,Virginia,2014,4118,aian,1862284,0.0022112631585730212,race,NA
51,Virginia,2015,4359,aian,1864668,0.0023376815604708185,race,NA
51,Virginia,2016,4449,aian,1865556,0.002384811820175862,race,NA
51,Virginia,2017,4167,aian,1866274,0.002232791112130373,race,NA
51,Virginia,2018,4458,aian,1867427,0.0023872419109287808,race,NA
51,Virginia,2019,4654,aian,1865699,0.0024945074205431853,race,NA
51,Virginia,2020,4102,aian,1868597,0.0021952298970832128,race,NA
51,Virginia,2021,4924,aian,1892752,0.0026015029966947596,race,NA
51003,"Albemarle County, Virginia",2009,714,asian,20237,0.03528190937391906,race,NA
51003,"Albemarle County, Virginia",2010,664,asian,21289,0.031189816337075484,race,NA
51003,"Albemarle County, Virginia",2011,621,asian,21354,0.029081202584995785,race,NA
51003,"Albemarle County, Virginia",2012,703,asian,21447,0.032778477176295055,race,NA
