year,locality,fips,race,count,percent,GEOID,NAME,pop_count,total_count,pop_percent,group,ethn
2022,Albemarle,51003,black,30,0.297029702970297,NA,NA,1915,22417,0.08542623901503324,NA,NA
2022,Albemarle,51003,white,63,0.6237623762376238,NA,NA,16536,22417,0.7376544586697595,NA,NA
2022,Albemarle,51003,aian,0,0,NA,NA,139,22417,0.00620065129143061,NA,NA
2022,Albemarle,51003,asian,0,0,NA,NA,1074,22417,0.04791006825177321,NA,NA
2022,Albemarle,51003,nhpi,0,0,NA,NA,0,22417,0,NA,NA
2022,Albemarle,51003,multi,7,0.06930693069306931,NA,NA,2199,22417,0.0980951956104742,NA,NA
2022,Albemarle,51003,unknown,0,0,NA,NA,NA,NA,NA,NA,NA
2022,Albemarle,51003,hispanic,21,0.2079207920792079,NA,NA,2157,22417,0.09622161752241602,NA,NA
2022,Charlottesville,51540,black,26,0.45614035087719296,NA,NA,1889,7314,0.2582718074924802,NA,NA
2022,Charlottesville,51540,white,20,0.3508771929824561,NA,NA,4332,7314,0.5922887612797375,NA,NA
2022,Charlottesville,51540,aian,0,0,NA,NA,0,7314,0,NA,NA
2022,Charlottesville,51540,asian,3,0.05263157894736842,NA,NA,403,7314,0.0550998085862729,NA,NA
2022,Charlottesville,51540,nhpi,0,0,NA,NA,0,7314,0,NA,NA
2022,Charlottesville,51540,multi,8,0.14035087719298245,NA,NA,612,7314,0.08367514356029532,NA,NA
2022,Charlottesville,51540,unknown,0,0,NA,NA,NA,NA,NA,NA,NA
2022,Charlottesville,51540,hispanic,8,0.14035087719298245,NA,NA,809,7314,0.1106097894449002,NA,NA
2022,Virginia,51,black,1405,0.2767927501970055,NA,NA,371765,1892752,0.19641506124415667,NA,NA
2022,Virginia,51,white,2998,0.5906225374310481,NA,NA,1104801,1892752,0.5837008757618536,NA,NA
2022,Virginia,51,aian,6,0.001182033096926714,NA,NA,4924,1892752,0.00260150299669475,NA,NA
2022,Virginia,51,asian,53,0.010441292356185973,NA,NA,121920,1892752,0.06441414406113426,NA,NA
2022,Virginia,51,nhpi,11,0.0021670606776989757,NA,NA,1111,1892752,5.869760010820224e-4,NA,NA
2022,Virginia,51,multi,496,0.09771473601260836,NA,NA,203018,1892752,0.1072607504839514,NA,NA
2022,Virginia,51,unknown,0,0,NA,NA,NA,NA,NA,NA,NA
2022,Virginia,51,hispanic,545,0.10736800630417652,NA,NA,269411,1892752,0.1423382461093688,NA,NA
2021,Albemarle,51003,black,42,0.3888888888888889,51003,"Albemarle County, Virginia",1915,22417,0.08542623901503324,race,NA
2021,Albemarle,51003,white,59,0.5462962962962963,51003,"Albemarle County, Virginia",16536,22417,0.7376544586697595,race,NA
2021,Albemarle,51003,aian,1,0.009259259259259259,51003,"Albemarle County, Virginia",139,22417,0.00620065129143061,race,NA
2021,Albemarle,51003,asian,0,0,51003,"Albemarle County, Virginia",1074,22417,0.04791006825177321,race,NA
2021,Albemarle,51003,nhpi,0,0,51003,"Albemarle County, Virginia",0,22417,0,race,NA
2021,Albemarle,51003,multi,5,0.046296296296296294,51003,"Albemarle County, Virginia",2199,22417,0.0980951956104742,race,NA
2021,Albemarle,51003,unknown,0,0,NA,NA,NA,NA,NA,NA,NA
