GEOID,year,race,pov_count,NAME,pop_count,total_count,group,pov_percent
51,2021,white,97135,Virginia,1104801,1892752,race,8.79
51003,2010,aian,0,"Albemarle County, Virginia",112,21289,race,0
51003,2010,asian,0,"Albemarle County, Virginia",664,21289,race,0
51003,2010,black,584,"Albemarle County, Virginia",2337,21289,race,24.99
51003,2010,hispanic,85,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2010,multi,55,"Albemarle County, Virginia",1120,21289,race,4.91
51003,2010,nhpi,0,"Albemarle County, Virginia",28,21289,race,0
51003,2010,other,67,"Albemarle County, Virginia",205,21289,race,32.68
51003,2010,white,1012,"Albemarle County, Virginia",16823,21289,race,6.02
51003,2011,aian,0,"Albemarle County, Virginia",136,21354,race,0
51003,2011,asian,25,"Albemarle County, Virginia",621,21354,race,4.03
51003,2011,black,676,"Albemarle County, Virginia",2441,21354,race,27.69
51003,2011,hispanic,82,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2011,multi,151,"Albemarle County, Virginia",1301,21354,race,11.61
51003,2011,nhpi,0,"Albemarle County, Virginia",0,21354,race,NA
51003,2011,other,28,"Albemarle County, Virginia",204,21354,race,13.73
51003,2011,white,1067,"Albemarle County, Virginia",16651,21354,race,6.41
51003,2012,aian,0,"Albemarle County, Virginia",101,21447,race,0
51003,2012,asian,20,"Albemarle County, Virginia",703,21447,race,2.84
51003,2012,black,569,"Albemarle County, Virginia",2255,21447,race,25.23
51003,2012,hispanic,271,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2012,multi,127,"Albemarle County, Virginia",1442,21447,race,8.81
51003,2012,nhpi,0,"Albemarle County, Virginia",0,21447,race,NA
51003,2012,other,71,"Albemarle County, Virginia",335,21447,race,21.19
51003,2012,white,921,"Albemarle County, Virginia",16611,21447,race,5.54
51003,2013,aian,0,"Albemarle County, Virginia",146,21569,race,0
51003,2013,asian,20,"Albemarle County, Virginia",760,21569,race,2.63
51003,2013,black,581,"Albemarle County, Virginia",2156,21569,race,26.95
51003,2013,hispanic,461,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2013,multi,157,"Albemarle County, Virginia",1461,21569,race,10.75
51003,2013,nhpi,0,"Albemarle County, Virginia",0,21569,race,NA
51003,2013,other,127,"Albemarle County, Virginia",363,21569,race,34.99
51003,2013,white,1277,"Albemarle County, Virginia",16683,21569,race,7.65
51003,2014,aian,2,"Albemarle County, Virginia",89,21633,race,2.25
51003,2014,asian,51,"Albemarle County, Virginia",870,21633,race,5.86
51003,2014,black,438,"Albemarle County, Virginia",2055,21633,race,21.31
51003,2014,hispanic,459,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2014,multi,168,"Albemarle County, Virginia",1560,21633,race,10.77
51003,2014,nhpi,0,"Albemarle County, Virginia",0,21633,race,NA
51003,2014,other,124,"Albemarle County, Virginia",486,21633,race,25.51
51003,2014,white,1207,"Albemarle County, Virginia",16573,21633,race,7.28
51003,2015,aian,9,"Albemarle County, Virginia",47,21700,race,19.15
51003,2015,asian,85,"Albemarle County, Virginia",871,21700,race,9.76
51003,2015,black,359,"Albemarle County, Virginia",2088,21700,race,17.19
51003,2015,hispanic,580,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2015,multi,181,"Albemarle County, Virginia",1576,21700,race,11.48
51003,2015,nhpi,0,"Albemarle County, Virginia",0,21700,race,NA
51003,2015,other,157,"Albemarle County, Virginia",529,21700,race,29.68
51003,2015,white,1275,"Albemarle County, Virginia",16589,21700,race,7.69
51003,2016,aian,10,"Albemarle County, Virginia",46,21721,race,21.74
51003,2016,asian,78,"Albemarle County, Virginia",928,21721,race,8.41
51003,2016,black,496,"Albemarle County, Virginia",2201,21721,race,22.54
51003,2016,hispanic,656,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2016,multi,32,"Albemarle County, Virginia",1171,21721,race,2.73
51003,2016,nhpi,0,"Albemarle County, Virginia",0,21721,race,NA
51003,2016,other,176,"Albemarle County, Virginia",650,21721,race,27.08
51003,2016,white,1438,"Albemarle County, Virginia",16725,21721,race,8.6
51003,2017,aian,2,"Albemarle County, Virginia",56,21738,race,3.57
51003,2017,asian,92,"Albemarle County, Virginia",1028,21738,race,8.95
51003,2017,black,663,"Albemarle County, Virginia",2393,21738,race,27.71
51003,2017,hispanic,652,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2017,multi,58,"Albemarle County, Virginia",924,21738,race,6.28
51003,2017,nhpi,0,"Albemarle County, Virginia",0,21738,race,NA
51003,2017,other,81,"Albemarle County, Virginia",532,21738,race,15.23
51003,2017,white,1473,"Albemarle County, Virginia",16805,21738,race,8.77
51003,2018,aian,14,"Albemarle County, Virginia",72,21734,race,19.44
51003,2018,asian,201,"Albemarle County, Virginia",1101,21734,race,18.26
51003,2018,black,683,"Albemarle County, Virginia",2520,21734,race,27.1
51003,2018,hispanic,552,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2018,multi,52,"Albemarle County, Virginia",747,21734,race,6.96
51003,2018,nhpi,0,"Albemarle County, Virginia",0,21734,race,NA
51003,2018,other,51,"Albemarle County, Virginia",455,21734,race,11.21
51003,2018,white,1491,"Albemarle County, Virginia",16839,21734,race,8.85
51003,2019,aian,11,"Albemarle County, Virginia",56,21723,race,19.64
51003,2019,asian,128,"Albemarle County, Virginia",941,21723,race,13.6
51003,2019,black,721,"Albemarle County, Virginia",2425,21723,race,29.73
51003,2019,hispanic,397,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2019,multi,92,"Albemarle County, Virginia",999,21723,race,9.21
51003,2019,nhpi,0,"Albemarle County, Virginia",0,21723,race,NA
51003,2019,other,0,"Albemarle County, Virginia",316,21723,race,0
51003,2019,white,1338,"Albemarle County, Virginia",16986,21723,race,7.88
51003,2020,aian,1,"Albemarle County, Virginia",84,21863,race,1.19
51003,2020,asian,109,"Albemarle County, Virginia",1041,21863,race,10.47
51003,2020,black,582,"Albemarle County, Virginia",2300,21863,race,25.3
51003,2020,hispanic,286,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2020,multi,72,"Albemarle County, Virginia",1443,21863,race,4.99
51003,2020,nhpi,0,"Albemarle County, Virginia",0,21863,race,NA
51003,2020,other,0,"Albemarle County, Virginia",454,21863,race,0
51003,2020,white,1217,"Albemarle County, Virginia",16541,21863,race,7.36
51003,2021,aian,6,"Albemarle County, Virginia",139,22417,race,4.32
51003,2021,asian,74,"Albemarle County, Virginia",1074,22417,race,6.89
51003,2021,black,412,"Albemarle County, Virginia",1915,22417,race,21.51
51003,2021,hispanic,337,"Albemarle County, Virginia",NA,NA,NA,NA
51003,2021,multi,84,"Albemarle County, Virginia",2199,22417,race,3.82
51003,2021,nhpi,0,"Albemarle County, Virginia",0,22417,race,NA
51003,2021,other,148,"Albemarle County, Virginia",554,22417,race,26.71
51003,2021,white,1004,"Albemarle County, Virginia",16536,22417,race,6.07
51540,2010,aian,0,"Charlottesville city, Virginia",51,6402,race,0
51540,2010,asian,24,"Charlottesville city, Virginia",242,6402,race,9.92
51540,2010,black,795,"Charlottesville city, Virginia",2174,6402,race,36.57
51540,2010,hispanic,274,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2010,multi,50,"Charlottesville city, Virginia",507,6402,race,9.86
51540,2010,nhpi,0,"Charlottesville city, Virginia",0,6402,race,NA
51540,2010,other,137,"Charlottesville city, Virginia",176,6402,race,77.84
51540,2010,white,329,"Charlottesville city, Virginia",3252,6402,race,10.12
51540,2011,aian,0,"Charlottesville city, Virginia",39,6368,race,0
51540,2011,asian,0,"Charlottesville city, Virginia",183,6368,race,0
51540,2011,black,698,"Charlottesville city, Virginia",2121,6368,race,32.91
51540,2011,hispanic,94,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2011,multi,61,"Charlottesville city, Virginia",536,6368,race,11.38
51540,2011,nhpi,0,"Charlottesville city, Virginia",0,6368,race,NA
51540,2011,other,0,"Charlottesville city, Virginia",54,6368,race,0
51540,2011,white,271,"Charlottesville city, Virginia",3435,6368,race,7.89
51540,2012,aian,0,"Charlottesville city, Virginia",18,6498,race,0
51540,2012,asian,79,"Charlottesville city, Virginia",211,6498,race,37.44
51540,2012,black,587,"Charlottesville city, Virginia",2220,6498,race,26.44
51540,2012,hispanic,79,"Charlottesville city, Virginia",NA,NA,NA,NA
51540,2012,multi,36,"Charlottesville city, Virginia",413,6498,race,8.72
51540,2012,nhpi,0,"Charlottesville city, Virginia",0,6498,race,NA
