locality,numdeaths,ratedeaths,year,rate_3yr
Albemarle County,0,5.7,2000,NA
Albemarle County,1,4.1,2001,5.333333333333333
Albemarle County,0,6.2,2002,5.3999999999999995
Albemarle County,1,5.9,2003,4.733333333333333
Albemarle County,0,2.1,2004,4.566666666666667
Albemarle County,1,5.7,2005,4.733333333333333
Albemarle County,2,6.4,2006,6.1000000000000005
Albemarle County,0,6.2,2007,7.433333333333334
Albemarle County,2,9.7,2008,6.833333333333333
Albemarle County,0,4.6,2009,5.666666666666667
Albemarle County,0,2.7,2010,3.3666666666666667
Albemarle County,0,2.8,2011,2.1333333333333333
Albemarle County,0,0.9,2012,3.433333333333333
Albemarle County,0,6.6,2013,3.4666666666666663
Albemarle County,2,2.9,2014,3.4999999999999996
Albemarle County,3,1,2015,1.5999999999999999
Albemarle County,0,0.9,2016,0.6333333333333333
Albemarle County,0,0,2017,3.1666666666666665
Albemarle County,1,8.6,2018,4.5
Albemarle County,1,4.9,2019,6.199999999999999
Albemarle County,2,5.1,2020,NA
Charlottesville City,45,7.3,2000,NA
Charlottesville City,52,16.2,2001,11.899999999999999
Charlottesville City,50,12.2,2002,13.866666666666665
Charlottesville City,51,13.2,2003,11.999999999999998
Charlottesville City,50,10.6,2004,10.466666666666665
Charlottesville City,60,7.6,2005,9.399999999999999
Charlottesville City,68,10,2006,11.966666666666667
Charlottesville City,83,18.3,2007,11.666666666666666
Charlottesville City,51,6.7,2008,11.266666666666666
Charlottesville City,60,8.8,2009,8.2
Charlottesville City,55,9.1,2010,7.3
Charlottesville City,46,4,2011,7.266666666666666
Charlottesville City,49,8.7,2012,4.766666666666666
Charlottesville City,40,1.6,2013,3.9666666666666655
Charlottesville City,43,1.6,2014,2.799999999999999
Charlottesville City,40,5.2,2015,4.666666666666665
Charlottesville City,42,7.2,2016,6.966666666666666
Charlottesville City,44,8.5,2017,6.333333333333332
Charlottesville City,51,3.3,2018,5.533333333333332
Charlottesville City,40,4.8,2019,3.299999999999999
Charlottesville City,45,1.8,2020,NA
Commonwealth Of Virginia,654,6.8,2000,NA
Commonwealth Of Virginia,712,7.4,2001,7.166666666666667
Commonwealth Of Virginia,708,7.3,2002,7.433333333333334
Commonwealth Of Virginia,735,7.6,2003,7.433333333333334
Commonwealth Of Virginia,743,7.4,2004,7.466666666666666
Commonwealth Of Virginia,748,7.4,2005,7.3
Commonwealth Of Virginia,704,7.1,2006,7.3999999999999995
Commonwealth Of Virginia,797,7.7,2007,7.166666666666667
Commonwealth Of Virginia,698,6.7,2008,7.133333333333333
Commonwealth Of Virginia,694,7,2009,6.833333333333333
Commonwealth Of Virginia,669,6.8,2010,6.833333333333333
Commonwealth Of Virginia,667,6.7,2011,6.6000000000000005
Commonwealth Of Virginia,617,6.3,2012,6.3999999999999995
Commonwealth Of Virginia,600,6.2,2013,6.066666666666666
Commonwealth Of Virginia,569,5.7,2014,5.933333333333334
Commonwealth Of Virginia,565,5.9,2015,5.8
Commonwealth Of Virginia,557,5.8,2016,5.766666666666667
Commonwealth Of Virginia,530,5.6,2018,5.766666666666667
Commonwealth Of Virginia,532,5.9,2019,5.6000000000000005
Commonwealth Of Virginia,527,5.3,2020,NA
