locality,num_lbw,num_lbw_white,num_lbw_black,num_lbw_other,pct_lbw,pct_lbw_white,pct_lbw_black,pct_lbw_other,year,pct_all_3yr,pct_white_3yr,pct_black_3yr,pct_other_3yr
Albemarle County,62,39,19,4,5.9,4.5,16.2,6.2,2000,NA,NA,NA,NA
Albemarle County,67,57,3,7,6.9,7.1,2.9,11.7,2001,6.066666666666667,5.466666666666666,9.833333333333334,7.733333333333333
Albemarle County,53,38,11,4,5.4,4.8,10.4,5.3,2002,6.7,6.366666666666666,9.866666666666667,6.8999999999999995
Albemarle County,79,60,16,3,7.8,7.2,16.3,3.7,2003,6.566666666666667,5.933333333333333,12.733333333333334,5.3
Albemarle County,62,47,11,4,6.5,5.8,11.5,6.9,2004,6.933333333333334,6.333333333333333,13.3,4.666666666666667
Albemarle County,69,53,14,2,6.5,6,12.1,3.4,2005,6.533333333333334,5.866666666666666,12.266666666666666,5.266666666666667
Albemarle County,72,51,17,4,6.6,5.8,13.2,5.5,2006,6.7,6.3,10.866666666666667,4.7
Albemarle County,79,66,9,4,7,7.1,7.3,5.2,2007,6.800000000000001,6.466666666666666,9.733333333333333,5.966666666666666
Albemarle County,77,60,12,5,6.8,6.5,8.7,7.2,2008,6.6000000000000005,6.3999999999999995,8.4,6.3
Albemarle County,65,50,10,5,6,5.6,9.2,6.5,2009,6.233333333333334,5.666666666666667,10.333333333333334,7.8
Albemarle County,65,45,13,7,5.9,4.9,13.1,9.7,2010,5.9333333333333345,4.966666666666666,12.233333333333334,7.9
Albemarle County,62,38,18,6,5.9,4.4,14.4,7.5,2011,6.466666666666668,5.366666666666667,11.733333333333334,9.866666666666667
Albemarle County,80,54,10,16,7.6,6.8,7.7,12.4,2012,6.733333333333334,5.599999999999999,11.4,9.766666666666667
Albemarle County,71,47,12,12,6.7,5.6,12.1,9.4,2013,6.900000000000001,5.933333333333333,10.033333333333331,10.133333333333333
Albemarle County,66,42,12,12,6.4,5.4,10.3,8.6,2014,6.266666666666668,5.5,9.433333333333334,8.299999999999999
Albemarle County,60,45,6,9,5.7,5.5,5.9,6.9,2015,5.7,5.2,8.533333333333333,6.433333333333334
Albemarle County,58,40,11,7,5,4.7,9.4,3.8,2016,5.733333333333334,5.2,8.933333333333334,6.366666666666667
Albemarle County,69,42,13,14,6.5,5.4,11.5,8.4,2017,6.233333333333334,5.233333333333333,12.466666666666669,7.066666666666666
Albemarle County,76,45,20,11,7.2,5.6,16.5,9,2018,7.166666666666667,5.699999999999999,15.566666666666668,9.066666666666668
Albemarle County,80,50,20,10,7.8,6.1,18.7,9.8,2019,7.2,5.866666666666666,15.933333333333332,7.7
Albemarle County,64,45,15,4,6.6,5.9,12.6,4.3,2020,NA,NA,NA,NA
Charlottesville City,52,21,26,5,9.5,6.3,14.7,11.9,2000,NA,NA,NA,NA
Charlottesville City,38,13,23,2,7.7,4.2,16.5,4.3,2001,8.1,5.066666666666666,14.966666666666669,6.5
Charlottesville City,35,15,19,1,7.1,4.7,13.7,3.3,2002,7.833333333333333,5.699999999999999,14.6,2.533333333333333
Charlottesville City,46,29,17,0,8.7,8.2,13.6,0,2003,8.666666666666666,7.266666666666666,13.766666666666666,1.1
Charlottesville City,48,28,20,0,10.2,8.9,14,0,2004,9.166666666666666,8.366666666666665,12.8,1.1333333333333333
Charlottesville City,45,27,17,1,8.6,8,10.8,3.4,2005,8.933333333333334,8.066666666666666,12.5,1.1333333333333333
Charlottesville City,40,25,15,0,8,7.3,12.7,0,2006,8.6,6.966666666666666,13.666666666666666,2.466666666666667
Charlottesville City,50,20,29,1,9.2,5.6,17.5,4,2007,8.466666666666667,6.866666666666666,13.433333333333332,2.566666666666667
