locality,num_lbw,num_lbw_white,num_lbw_black,num_lbw_other,pct_lbw,pct_lbw_white,pct_lbw_black,pct_lbw_other,year,pct_all_3yr,pct_white_3yr,pct_black_3yr,pct_other_3yr
Charlottesville City,49,30,18,1,8.2,7.7,10.1,3.7,2008,8.666666666666666,6.166666666666667,15.033333333333331,2.566666666666667
Charlottesville City,49,19,30,0,8.6,5.2,17.5,0,2009,7.966666666666666,5.366666666666667,13.933333333333332,8.066666666666666
Charlottesville City,39,12,19,8,7.1,3.2,14.2,20.5,2010,8.1,5.233333333333333,14.333333333333334,10.766666666666667
Charlottesville City,43,25,14,4,8.6,7.3,11.3,11.8,2011,7.033333333333334,5.066666666666666,10.866666666666667,12.766666666666667
Charlottesville City,31,18,9,4,5.4,4.7,7.1,6,2012,6.833333333333333,5.666666666666667,9.966666666666669,7.433333333333334
Charlottesville City,40,20,17,3,6.5,5,11.5,4.5,2013,6.266666666666667,5.3999999999999995,8.966666666666667,5.666666666666667
Charlottesville City,43,26,11,6,6.9,6.5,8.3,6.5,2014,6.6000000000000005,5.199999999999999,12,4.966666666666667
Charlottesville City,37,16,18,3,6.4,4.1,16.2,3.9,2015,6.300000000000001,5.033333333333332,11.966666666666669,4
Charlottesville City,31,17,13,1,5.6,4.5,11.4,1.6,2016,6.333333333333333,4.8,13.1,3.566666666666667
Charlottesville City,41,21,15,5,7,5.8,11.7,5.2,2017,5.566666666666666,4.433333333333333,10.8,3.266666666666667
Charlottesville City,25,13,10,2,4.1,3,9.3,3,2018,6.066666666666666,4.566666666666666,13.266666666666666,2.733333333333334
Charlottesville City,44,22,22,0,7.1,4.9,18.8,0,2019,6.133333333333333,4.8,14.166666666666666,1.0000000000000002
Charlottesville City,40,25,15,0,7.2,6.5,14.4,0,2020,NA,NA,NA,NA
Commonwealth Of Virginia,7886,4485,2832,569,8,6.5,12.7,7.6,2000,NA,NA,NA,NA
Commonwealth Of Virginia,7816,4490,2783,543,7.9,6.5,12.7,7.1,2001,7.966666666666666,6.5,12.699999999999998,7.4
Commonwealth Of Virginia,7904,4472,2779,653,8,6.5,12.7,7.5,2002,8.033333333333333,6.6000000000000005,12.83333333333333,7.366666666666667
Commonwealth Of Virginia,8278,4738,2855,685,8.2,6.8,13.1,7.5,2003,8.2,6.766666666666667,12.9,7.7
Commonwealth Of Virginia,8674,5079,2867,728,8.4,7,12.9,8.1,2004,8.266666666666666,6.933333333333334,12.933333333333332,7.533333333333334
Commonwealth Of Virginia,8594,5062,2816,716,8.2,7,12.8,7,2005,8.299999999999999,7,12.866666666666664,7.466666666666666
Commonwealth Of Virginia,8883,5125,2993,765,8.3,7,12.9,7.3,2006,8.366666666666665,7.033333333333334,13.166666666666666,7.233333333333333
Commonwealth Of Virginia,9344,5205,3278,861,8.6,7.1,13.8,7.4,2007,8.433333333333332,7.066666666666666,13.233333333333333,7.5
Commonwealth Of Virginia,8996,5163,3039,794,8.4,7.1,13,7.8,2008,8.466666666666667,7.066666666666666,13.333333333333334,7.6
Commonwealth Of Virginia,8800,4947,3033,820,8.4,7,13.2,7.6,2009,8.333333333333334,7,12.9,7.833333333333333
Commonwealth Of Virginia,8487,4782,2814,891,8.2,6.9,12.5,8.1,2010,8.2,6.833333333333333,12.699999999999998,7.933333333333333
Commonwealth Of Virginia,8204,4577,2733,894,8,6.6,12.4,8.1,2011,8.133333333333333,6.733333333333333,12.666666666666666,7.966666666666666
Commonwealth Of Virginia,8391,4447,2852,1092,8.2,6.7,13.1,7.7,2012,8.066666666666665,6.633333333333333,12.633333333333333,7.9
Commonwealth Of Virginia,8178,4286,2677,1215,8,6.6,12.4,7.9,2013,8.033333333333333,6.566666666666666,12.633333333333333,7.766666666666667
Commonwealth Of Virginia,8078,4157,2646,1275,7.9,6.4,12.4,7.7,2014,7.933333333333333,6.466666666666666,12.366666666666664,7.766666666666667
Commonwealth Of Virginia,8099,4150,2621,1328,7.9,6.4,12.3,7.7,2015,7.966666666666666,6.433333333333334,12.699999999999998,7.666666666666667
Commonwealth Of Virginia,8266,4087,2808,1371,8.1,6.5,13.4,7.6,2016,8.133333333333333,6.533333333333334,13.066666666666665,7.766666666666667
Commonwealth Of Virginia,8351,4115,2846,1390,8.4,6.7,13.5,8,2017,8.233333333333333,6.633333333333333,13.533333333333331,7.6
Commonwealth Of Virginia,8201,4098,2877,1226,8.2,6.7,13.7,7.2,2018,8.333333333333334,6.7,13.566666666666665,7.7
Commonwealth Of Virginia,8162,4016,2877,1269,8.4,6.7,13.5,7.9,2019,8.299999999999999,6.666666666666667,13.566666666666665,7.566666666666666
Commonwealth Of Virginia,7850,3862,2792,1196,8.3,6.6,13.5,7.6,2020,NA,NA,NA,NA
